,Транспорт,Еда,Рестораны,,Другое,,,,,
1/1/2018,,956,,,,,,,956,
1/2/2018,,864,,,1500,pro create + duet,,,2364,
1/3/2018,5208,,,,20594,пальто+сапоги+пакет,,,25802,
1/4/2018,452,,445,kfc,634,подарок,,,1531,
1/5/2018,638,,1512,москва,1442,разное,,,3592,
1/6/2018,68,1096,,,370,коврик,,,1534,
1/7/2018,,515,,,,,,,515,
1/8/2018,,155,,,,,,,155,
1/9/2018,68,768,,,,,,,836,
1/10/2018,34,316,,,,,,,350,
1/11/2018,34,,,,,,,,34,
1/12/2018,34,,220,обжорка,265,аптека,,,519,
1/13/2018,,626,,,220,аптека,,,846,
1/14/2018,,1024,,,4678,квартплата,,,5702,
1/15/2018,34,60,,,,,,,94,
1/16/2018,34,144,,,,,,,178,
1/17/2018,68,,,,,,,,68,
1/18/2018,34,164,,,,,,,198,
1/19/2018,34,,110,обжорка,,,,,144,
1/20/2018,,1781,,,352,разное,,,2133,
1/21/2018,,,,,,,,,0,
1/22/2018,68,,,,1580,читай город и аптека,,,1648,
1/23/2018,68,85,,,,,,,153,
1/24/2018,34,90,110,обжорка,15,аптека,,,249,
1/25/2018,,,,,300,телефон,,,300,
1/26/2018,68,608,,,400,интернет,,,1076,
1/27/2018,,,,,,,,,0,
1/28/2018,,,,,,,,,0,
1/29/2018,,,,,,,,,0,
1/30/2018,,,,,,,,,0,
1/31/2018,,,,,,,,,0,
,6978,9252,2397,,32350,,,,50977,57700
,,,,,,,,,6723,